"Kyn";"Aldursflokkur/Buseta";"Menntun";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"Alls";"16 til 74 ara";"Alls";198000;199700;202100;210100;217900;223000;223300;223100;223900;223700;227200
"Alls";"16 til 74 ara";"Grunnmenntun - ISCED 1, 2";81800;81800;80100;82300;84000;87800;86900;86100;86100;84000;82300
"Alls";"16 til 74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";72300;74100;75300;77300;80700;79600;79200;80700;79600;78500;80500
"Alls";"16 til 74 ara";"Haskolamenntun - ISCED 5, 6";42400;42700;45600;49500;52200;55100;57000;56200;58100;60900;64000
"Alls";"16 til 74 ara";"Upplysingar vantar";1500;1100;1100;1100;1000;500;200;0;100;200;300
"Alls";"25 til 64 ara";"Alls";143100;145100;147400;154400;160600;164100;163600;162600;162000;161200;163300
"Alls";"25 til 64 ara";"Grunnmenntun - ISCED 1, 2";49200;48800;46600;48300;49200;50900;49300;47700;47600;47100;45400
"Alls";"25 til 64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";53700;55600;57100;58900;61700;61300;60300;61800;59600;57600;58900
"Alls";"25 til 64 ara";"Haskolamenntun - ISCED 5, 6";39300;40200;43000;46400;49000;51700;53800;53000;54600;56300;58700
"Alls";"25 til 64 ara";"Upplysingar vantar";900;600;700;800;700;300;200;0;100;200;200
"Alls";"16 til 19 ara";"Alls";15800;16200;16800;17600;18400;18500;18700;18500;18300;18200;17800
"Alls";"16 til 19 ara";"Grunnmenntun - ISCED 1, 2";14200;14600;15100;16000;17100;17900;18100;17900;17700;17600;17000
"Alls";"16 til 19 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";1600;1500;1700;1500;1300;600;600;600;600;700;700
"Alls";"16 til 19 ara";"Haskolamenntun - ISCED 5, 6";0;0;0;0;0;0;0;0;0;0;0
"Alls";"16 til 19 ara";"Upplysingar vantar";0;0;0;0;0;0;0;0;0;0;0
"Alls";"20 til 24 ara";"Alls";20800;20200;19900;20100;20700;21700;21800;22100;22700;22400;23100
"Alls";"20 til 24 ara";"Grunnmenntun - ISCED 1, 2";8700;8100;8500;8500;8500;10000;9900;10200;9800;9400;9500
"Alls";"20 til 24 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";11200;11300;10800;10800;11600;11000;11200;11400;12200;12300;12700
"Alls";"20 til 24 ara";"Haskolamenntun - ISCED 5, 6";900;700;700;800;600;700;600;500;700;700;900
"Alls";"20 til 24 ara";"Upplysingar vantar";100;100;0;0;0;0;0;0;0;0;100
"Alls";"25 til 29 ara";"Alls";19300;19200;19800;20900;22400;23800;23300;22400;21400;20300;20700
"Alls";"25 til 29 ara";"Grunnmenntun - ISCED 1, 2";6000;5400;5800;6600;6600;6900;6900;6200;5500;5600;6000
"Alls";"25 til 29 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";8500;8600;8200;8200;9300;10000;9300;9100;8700;7900;7300
"Alls";"25 til 29 ara";"Haskolamenntun - ISCED 5, 6";4800;5100;5800;6100;6500;6900;7100;7100;7200;6800;7400
"Alls";"25 til 29 ara";"Upplysingar vantar";0;100;100;0;0;0;0;0;0;0;0
"Alls";"30 til 49 ara";"Alls";81400;81800;81600;85100;87600;88100;86700;85500;85000;84300;84900
"Alls";"30 til 49 ara";"Grunnmenntun - ISCED 1, 2";25200;25300;23100;23800;24200;24500;23300;21800;22300;20700;20100
"Alls";"30 til 49 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";29800;30400;31400;31700;32600;31700;30800;31700;29600;29200;29500
"Alls";"30 til 49 ara";"Haskolamenntun - ISCED 5, 6";26000;25700;26900;29300;30300;31700;32500;32000;33000;34400;35100
"Alls";"30 til 49 ara";"Upplysingar vantar";400;300;300;300;400;100;100;0;100;100;100
