-16,127,Australia
71,40,N/A
-72,-131,N/A
64,-173,N/A
56,64,Russia
-28,-166,N/A
-18,-124,N/A
-62,-54,Antarctica
72,50,Russia
19,-129,N/A
35,-179,N/A
-72,-2,Antarctica
-72,-5,Antarctica
-62,-26,N/A
-62,107,N/A
-25,78,N/A
-62,-113,N/A
5,-83,N/A
62,-53,N/A
16,-114,N/A
-25,139,Australia
-56,150,N/A
-5,-79,Ecuador
17,96,Myanmar (Burma)
-70,-121,N/A
39,26,N/A
72,32,N/A
61,-153,United States
-71,1,Antarctica
-72,-121,N/A
-1,-138,N/A
-69,-33,N/A
7,70,N/A
68,-173,Russia
-44,-141,N/A
2,69,N/A
-39,35,N/A
16,-8,Mauritania
-63,174,N/A
-63,47,N/A
23,-63,N/A
-24,121,Australia
-26,175,N/A
-34,70,N/A
-62,-95,N/A
62,-22,N/A
61,176,Russia
-61,-38,N/A
70,-60,N/A
-11,38,Tanzania
-30,163,N/A
3,-117,N/A
-10,152,Papua New Guinea
-70,-125,N/A
-66,32,N/A
70,-80,Canada
63,95,Russia
1,-5,N/A
11,-83,N/A
63,174,Russia
11,69,N/A
-33,76,N/A
55,172,N/A
66,-74,Canada
7,79,N/A
61,-34,N/A
-37,-94,N/A
1,-131,N/A
71,-156,United States
66,-46,Greenland
13,29,Sudan
-3,145,Papua New Guinea
-61,24,N/A
69,162,Russia
20,-1,Mali
-22,-37,N/A
21,42,Saudi Arabia
26,168,N/A
-36,-170,N/A
-66,13,N/A
60,-37,N/A
-62,-67,N/A
0,47,N/A
54,-79,Canada
-69,4,N/A
64,-120,Canada
71,-176,Russia
-63,-6,N/A
-41,-141,N/A
-25,-9,Saint Helena
-21,-2,N/A
71,101,Russia
4,-17,N/A
-30,92,N/A
-67,-109,N/A
-71,-23,N/A
65,59,Russia
-71,-131,N/A
-61,-80,N/A
-63,160,N/A
-28,-40,N/A
-72,-156,N/A
-2,98,N/A
6,30,South Sudan
62,105,Russia
70,102,Russia
-18,-73,N/A
-31,-48,N/A
-40,94,N/A
-72,-30,N/A
70,133,Russia
67,-69,Canada
-35,109,N/A
66,156,Russia
39,-121,United States
-72,118,Antarctica
-65,29,N/A
-33,26,South Africa
65,169,Russia
-17,37,Mozambique
1,102,Indonesia
4,3,N/A
2,120,N/A
-75,108,Antarctica
-71,-104,N/A
-69,-92,N/A
-35,-34,N/A
42,-4,Spain
-36,-54,N/A
62,-155,United States
-62,-71,N/A
-64,102,N/A
64,-12,N/A
55,1,N/A
-11,105,N/A
69,64,Russia
-71,-22,N/A
67,96,Russia
67,-98,Canada
-85,22,Antarctica
26,-165,N/A
14,-124,N/A
29,158,N/A
26,131,N/A
-70,-162,N/A
-21,-9,Saint Helena
-81,173,Antarctica
10,-49,N/A
-65,-164,N/A
-4,-135,N/A
-72,114,Antarctica
-69,-70,Antarctica
-40,-56,N/A
-40,164,N/A
12,-162,N/A
-11,3,N/A
-77,-46,N/A
7,163,N/A
6,95,Indonesia
-12,-2,N/A
61,-170,United States
-28,-83,N/A
61,26,Finland
-29,-155,N/A
-25,35,N/A
62,-154,United States
64,6,N/A
62,-115,Canada
-11,-119,N/A
-84,9,Antarctica
